time_from_start,trunk_joint1_pos,trunk_joint2_pos,trunk_joint3_pos,trunk_joint4_pos,trunk_joint1_vel,trunk_joint2_vel,trunk_joint3_vel,trunk_joint4_vel,trunk_joint1_acc,trunk_joint2_acc,trunk_joint3_acc,trunk_joint4_acc
0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,-0.005000,0.002500,0.001333,0.001000,-0.100000,0.049996,0.026667,0.020007,-1.000000,0.499958,0.266673,0.200071
0.200000,-0.020000,0.009999,0.005333,0.004001,-0.200000,0.099992,0.053335,0.040014,-1.000000,0.499958,0.266673,0.200071
0.300000,-0.045000,0.022498,0.012000,0.009003,-0.300000,0.149987,0.080002,0.060021,-1.000000,0.499958,0.266673,0.200071
0.400000,-0.080000,0.039997,0.021334,0.016006,-0.400000,0.199983,0.106669,0.080028,-1.000000,0.499958,0.266673,0.200071
0.500000,-0.125000,0.062495,0.033334,0.025009,-0.499999,0.249979,0.133336,0.100036,-1.000000,0.499958,0.266673,0.200071
0.600000,-0.180000,0.089992,0.048001,0.036013,-0.599999,0.299975,0.160003,0.120043,-1.000000,0.499958,0.266673,0.200071
0.700000,-0.245000,0.122490,0.065335,0.049017,-0.699999,0.349970,0.186671,0.140050,-1.000000,0.499958,0.266673,0.200071
0.800000,-0.320000,0.159986,0.085335,0.064023,-0.799999,0.399966,0.213338,0.160057,-1.000000,0.499958,0.266673,0.200071
0.900000,-0.405000,0.202483,0.108002,0.081029,-0.899999,0.449962,0.240005,0.180064,-1.000000,0.499958,0.266673,0.200071
1.000000,-0.499999,0.249979,0.133336,0.100036,-0.999999,0.499957,0.266672,0.200071,-1.000000,0.499958,0.266673,0.200071
1.100000,-0.604999,0.302474,0.161337,0.121043,-1.099998,0.549953,0.293340,0.220078,-1.000000,0.499958,0.266673,0.200071
1.200000,-0.719999,0.359969,0.192004,0.144051,-1.199998,0.599949,0.320007,0.240085,-1.000000,0.499958,0.266673,0.200071
1.300000,-0.839332,0.419631,0.223827,0.167926,-1.149442,0.574673,0.306525,0.229970,1.000000,-0.499958,-0.266673,-0.200071
1.400000,-0.949276,0.474598,0.253146,0.189923,-1.049442,0.524677,0.279858,0.209963,1.000000,-0.499958,-0.266673,-0.200071
1.500000,-1.049221,0.524566,0.279799,0.209919,-0.949442,0.474681,0.253190,0.189956,1.000000,-0.499958,-0.266673,-0.200071
1.600000,-1.139165,0.569535,0.303784,0.227914,-0.849442,0.424686,0.226523,0.169949,1.000000,-0.499958,-0.266673,-0.200071
1.700000,-1.219109,0.609504,0.325103,0.243909,-0.749442,0.374690,0.199856,0.149942,1.000000,-0.499958,-0.266673,-0.200071
1.800000,-1.289053,0.644473,0.343755,0.257903,-0.649442,0.324694,0.173189,0.129935,1.000000,-0.499958,-0.266673,-0.200071
1.900000,-1.348998,0.674442,0.359741,0.269896,-0.549442,0.274698,0.146521,0.109928,1.000000,-0.499958,-0.266673,-0.200071
2.000000,-1.398942,0.699412,0.373060,0.279888,-0.449442,0.224702,0.119854,0.089921,1.000000,-0.499958,-0.266673,-0.200071
2.100000,-1.438886,0.719383,0.383712,0.287880,-0.349442,0.174707,0.093187,0.069913,1.000000,-0.499958,-0.266673,-0.200071
2.200000,-1.468830,0.734354,0.391697,0.293871,-0.249442,0.124711,0.066519,0.049906,1.000000,-0.499958,-0.266673,-0.200071
2.300000,-1.488775,0.744325,0.397016,0.297861,-0.149442,0.074715,0.039852,0.029899,1.000000,-0.499958,-0.266673,-0.200071
2.400000,-1.498719,0.749297,0.399667,0.299851,-0.049442,0.024719,0.013185,0.009892,1.000000,-0.499958,-0.266673,-0.200071
2.449442,-1.499941,0.749908,0.399993,0.300095,-0.000000,0.000000,0.000000,0.000000,1.000000,-0.499958,-0.266673,-0.200071
