t,stage_id,trunk_joint1,trunk_joint2,trunk_joint3,trunk_joint4,dtrunk_joint1,dtrunk_joint2,dtrunk_joint3,dtrunk_joint4,ddtrunk_joint1,ddtrunk_joint2,ddtrunk_joint3,ddtrunk_joint4
0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,1,-0.000010,-0.000002,-0.000012,0.000000,-0.001513,-0.000333,-0.001847,0.000000,-0.149783,-0.033003,-0.182786,0.000000
0.040000,1,-0.000080,-0.000018,-0.000097,0.000000,-0.005931,-0.001307,-0.007238,0.000000,-0.290488,-0.064006,-0.354493,0.000000
0.060000,1,-0.000266,-0.000059,-0.000324,0.000000,-0.013073,-0.002881,-0.015954,0.000000,-0.422300,-0.093049,-0.515349,0.000000
0.080000,1,-0.000620,-0.000137,-0.000756,0.000000,-0.022765,-0.005016,-0.027781,0.000000,-0.545405,-0.120174,-0.665580,0.000000
0.100000,1,-0.001192,-0.000263,-0.001455,0.000000,-0.034833,-0.007675,-0.042508,0.000000,-0.659989,-0.145421,-0.805410,0.000000
0.120000,1,-0.002028,-0.000447,-0.002475,0.000000,-0.049109,-0.010821,-0.059929,0.000000,-0.766235,-0.168832,-0.935067,0.000000
0.140000,1,-0.003170,-0.000698,-0.003868,0.000000,-0.065428,-0.014416,-0.079844,0.000000,-0.864331,-0.190446,-1.054776,0.000000
0.160000,1,-0.004657,-0.001026,-0.005684,0.000000,-0.083629,-0.018427,-0.102056,0.000000,-0.954460,-0.210305,-1.164764,0.000000
0.180000,1,-0.006527,-0.001438,-0.007965,0.000000,-0.103554,-0.022817,-0.126371,0.000000,-1.036808,-0.228449,-1.265257,0.000000
0.200000,1,-0.008810,-0.001941,-0.010751,0.000000,-0.125051,-0.027553,-0.152604,0.000000,-1.111560,-0.244920,-1.356480,0.000000
0.220000,1,-0.011538,-0.002542,-0.014080,0.000000,-0.147967,-0.032603,-0.180570,0.000000,-1.178902,-0.259758,-1.438660,0.000000
0.240000,1,-0.014737,-0.003247,-0.017985,0.000000,-0.172158,-0.037933,-0.210092,0.000000,-1.239019,-0.273004,-1.512023,0.000000
0.260000,1,-0.018432,-0.004061,-0.022493,0.000000,-0.197481,-0.043513,-0.240994,0.000000,-1.292096,-0.284699,-1.576795,0.000000
0.280000,1,-0.022643,-0.004989,-0.027632,0.000000,-0.223797,-0.049311,-0.273108,0.000000,-1.338318,-0.294884,-1.633202,0.000000
0.300000,1,-0.027390,-0.006035,-0.033425,0.000000,-0.250969,-0.055298,-0.306268,0.000000,-1.377871,-0.303599,-1.681470,0.000000
0.320000,1,-0.032687,-0.007202,-0.039889,0.000000,-0.278868,-0.061446,-0.340314,0.000000,-1.410940,-0.310885,-1.721825,0.000000
0.340000,1,-0.038548,-0.008494,-0.047042,0.000000,-0.307365,-0.067724,-0.375090,0.000000,-1.437710,-0.316784,-1.754494,0.000000
0.360000,1,-0.044985,-0.009912,-0.054896,0.000000,-0.336336,-0.074108,-0.410444,0.000000,-1.458367,-0.321335,-1.779702,0.000000
0.380000,1,-0.052004,-0.011459,-0.063463,0.000000,-0.365660,-0.080569,-0.446229,0.000000,-1.473095,-0.324580,-1.797675,0.000000
