q1,q2,cost,valid_flag,projection_error,dist_proj_to_goal_proj,stage2_pos_error,stage2_pose_error,o4_proj_x,o4_proj_y,o4_proj_z
-1.570000,-1.570000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.543833,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.517667,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.491500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.465333,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.439167,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.413000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.386833,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.360667,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.334500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.308333,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.282167,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.256000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.229833,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.203667,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.177500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.151333,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.125167,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.099000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.072833,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.046667,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-1.020500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.994333,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.968167,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.942000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.915833,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.889667,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.863500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.837333,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.811167,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.785000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.758833,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.732667,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.706500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.680333,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.654167,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.628000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.601833,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.575667,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.549500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.523333,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.497167,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.471000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.444833,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.418667,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.392500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.366333,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.340167,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.314000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.287833,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.261667,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.235500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.209333,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.183167,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.157000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.130833,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.104667,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.078500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.052333,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,-0.026167,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.570000,0.000000,1.399105,1,0.224742,0.224742,0.150117,0.048797,0.582000,0.000000,0.112463
-1.570000,0.026167,1.297675,1,0.218509,0.218509,0.143705,0.045658,0.581907,0.000000,0.119135
-1.570000,0.052333,1.203376,1,0.212240,0.212240,0.137013,0.042935,0.581640,0.000000,0.125802
-1.570000,0.078500,1.116581,1,0.205936,0.205936,0.130141,0.040633,0.581199,0.000000,0.132460
-1.570000,0.104667,1.038227,1,0.199598,0.199598,0.123439,0.038752,0.580583,0.000000,0.139104
-1.570000,0.130833,0.968329,1,0.193228,0.193228,0.116941,0.036541,0.579794,0.000000,0.145729
-1.570000,0.157000,0.906898,1,0.186827,0.186827,0.110687,0.033575,0.578832,0.000000,0.152332
-1.570000,0.183167,0.852891,1,0.180395,0.180395,0.104221,0.031036,0.577697,0.000000,0.158907
-1.570000,0.209333,0.806278,1,0.173935,0.173935,0.097485,0.028925,0.576391,0.000000,0.165450
-1.570000,0.235500,0.768221,1,0.167448,0.167448,0.091057,0.027247,0.574914,0.000000,0.171957
-1.570000,0.261667,0.738727,1,0.160935,0.160935,0.085012,0.025983,0.573267,0.000000,0.178423
-1.570000,0.287833,0.717309,1,0.154397,0.154397,0.079127,0.023237,0.571452,0.000000,0.184843
-1.570000,0.314000,0.702713,1,0.147837,0.147837,0.072583,0.020927,0.569469,0.000000,0.191214
-1.570000,0.340167,0.693284,1,0.141255,0.141255,0.066559,0.019054,0.567320,0.000000,0.197531
-1.570000,0.366333,0.685559,1,0.134654,0.134654,0.061214,0.017620,0.565007,0.000000,0.203790
-1.570000,0.392500,0.677980,1,0.128035,0.128035,0.055353,0.016626,0.562531,0.000000,0.209985
-1.570000,0.418667,0.671319,1,0.121401,0.121401,0.049570,0.014810,0.559893,0.000000,0.216114
-1.570000,0.444833,0.666424,1,0.114753,0.114753,0.044852,0.012766,0.557096,0.000000,0.222172
-1.570000,0.471000,0.661679,1,0.108095,0.108095,0.039570,0.011166,0.554142,0.000000,0.228155
-1.570000,0.497167,0.657832,1,0.101428,0.101428,0.034555,0.010009,0.551032,0.000000,0.234058
-1.570000,0.523333,0.655666,1,0.094756,0.094756,0.031222,0.009297,0.547769,0.000000,0.239878
-1.570000,0.549500,0.652803,1,0.088084,0.088084,0.025888,0.008440,0.544354,0.000000,0.245610
-1.570000,0.575667,0.651802,1,0.081417,0.081417,0.023150,0.006690,0.540791,0.000000,0.251251
-1.570000,0.601833,0.650505,1,0.074760,0.074760,0.018871,0.005386,0.537081,0.000000,0.256797
-1.570000,0.628000,0.650471,1,0.068122,0.068122,0.016929,0.004529,0.533228,0.000000,0.262244
-1.570000,0.654167,0.650261,1,0.061514,0.061514,0.013546,0.004121,0.529233,0.000000,0.267589
-1.570000,0.680333,0.651146,1,0.054953,0.054953,0.013185,0.004161,0.525100,0.000000,0.272827
-1.570000,0.706500,0.651571,1,0.048463,0.048463,0.010100,0.002814,0.520831,0.000000,0.277955
-1.570000,0.732667,0.653344,1,0.042083,0.042083,0.012197,0.001822,0.516429,0.000000,0.282969
-1.570000,0.758833,0.654132,1,0.035876,0.035876,0.008990,0.001278,0.511898,0.000000,0.287867
-1.570000,0.785000,0.656269,1,0.029956,0.029956,0.011468,0.001182,0.507240,0.000000,0.292644
-1.570000,0.811167,0.657843,1,0.024537,0.024537,0.010470,0.001536,0.502459,0.000000,0.297298
-1.570000,0.837333,0.660349,1,0.020035,0.020035,0.012830,0.001234,0.497558,0.000000,0.301826
-1.570000,0.863500,0.662811,1,0.017191,0.017191,0.014104,0.000556,0.492540,0.000000,0.306223
-1.570000,0.889667,0.665964,1,0.016867,0.016867,0.016908,0.000325,0.487408,0.000000,0.310488
-1.570000,0.915833,0.669348,1,0.019191,0.019191,0.019487,0.000542,0.482167,0.000000,0.314617
-1.570000,0.942000,0.673605,1,0.023386,0.023386,0.023334,0.001206,0.476819,0.000000,0.318607
-1.570000,0.968167,0.677960,1,0.028639,0.028639,0.026509,0.002017,0.471369,0.000000,0.322457
-1.570000,0.994333,0.683944,1,0.034467,0.034467,0.031742,0.001646,0.465820,0.000000,0.326162
