t,stage_id,trunk_joint1,trunk_joint2,trunk_joint3,trunk_joint4,dtrunk_joint1,dtrunk_joint2,dtrunk_joint3,dtrunk_joint4,ddtrunk_joint1,ddtrunk_joint2,ddtrunk_joint3,ddtrunk_joint4
0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,1,-0.000010,-0.000003,-0.000013,0.000000,-0.001500,-0.000385,-0.001885,0.000000,-0.148513,-0.038080,-0.186594,0.000000
0.040000,1,-0.000079,-0.000020,-0.000100,0.000000,-0.005881,-0.001508,-0.007388,0.000000,-0.288026,-0.073853,-0.361879,0.000000
0.060000,1,-0.000263,-0.000068,-0.000331,0.000000,-0.012963,-0.003324,-0.016286,0.000000,-0.418721,-0.107364,-0.526086,0.000000
0.080000,1,-0.000615,-0.000158,-0.000772,0.000000,-0.022572,-0.005788,-0.028359,0.000000,-0.540783,-0.138662,-0.679446,0.000000
0.100000,1,-0.001182,-0.000303,-0.001485,0.000000,-0.034538,-0.008856,-0.043393,0.000000,-0.654396,-0.167794,-0.822189,0.000000
0.120000,1,-0.002011,-0.000516,-0.002526,0.000000,-0.048693,-0.012485,-0.061178,0.000000,-0.759742,-0.194806,-0.954547,0.000000
0.140000,1,-0.003143,-0.000806,-0.003949,0.000000,-0.064873,-0.016634,-0.081508,0.000000,-0.857006,-0.219745,-1.076751,0.000000
0.160000,1,-0.004618,-0.001184,-0.005802,0.000000,-0.082920,-0.021262,-0.104182,0.000000,-0.946371,-0.242659,-1.189030,0.000000
0.180000,1,-0.006471,-0.001659,-0.008131,0.000000,-0.102677,-0.026327,-0.129004,0.000000,-1.028021,-0.263595,-1.291616,0.000000
0.200000,1,-0.008735,-0.002240,-0.010975,0.000000,-0.123991,-0.031793,-0.155783,0.000000,-1.102140,-0.282600,-1.384740,0.000000
0.220000,1,-0.011440,-0.002933,-0.014374,0.000000,-0.146713,-0.037619,-0.184332,0.000000,-1.168911,-0.299721,-1.468632,0.000000
0.240000,1,-0.014612,-0.003747,-0.018359,0.000000,-0.170699,-0.043769,-0.214469,0.000000,-1.228519,-0.315005,-1.543524,0.000000
0.260000,1,-0.018276,-0.004686,-0.022962,0.000000,-0.195808,-0.050207,-0.246015,0.000000,-1.281146,-0.328499,-1.609645,0.000000
0.280000,1,-0.022451,-0.005757,-0.028208,0.000000,-0.221900,-0.056897,-0.278797,0.000000,-1.326977,-0.340250,-1.667227,0.000000
0.300000,1,-0.027157,-0.006963,-0.034121,0.000000,-0.248843,-0.063806,-0.312648,0.000000,-1.366194,-0.350306,-1.716501,0.000000
0.320000,1,-0.032410,-0.008310,-0.040720,0.000000,-0.276505,-0.070899,-0.347404,0.000000,-1.398983,-0.358714,-1.757697,0.000000
0.340000,1,-0.038222,-0.009800,-0.048022,0.000000,-0.304760,-0.078144,-0.382904,0.000000,-1.425526,-0.365520,-1.791046,0.000000
0.360000,1,-0.044603,-0.011437,-0.056040,0.000000,-0.333486,-0.085509,-0.418995,0.000000,-1.446008,-0.370771,-1.816779,0.000000
0.380000,1,-0.051563,-0.013221,-0.064785,0.000000,-0.362561,-0.092964,-0.455526,0.000000,-1.460611,-0.374516,-1.835127,0.000000
0.400000,1,-0.059107,-0.015156,-0.074263,0.000000,-0.391872,-0.100480,-0.492352,0.000000,-1.469520,-0.376800,-1.846320,0.000000
0.420000,1,-0.067239,-0.017241,-0.084480,0.000000,-0.421305,-0.108027,-0.529332,0.000000,-1.472918,-0.377671,-1.850590,0.000000
0.440000,1,-0.075960,-0.019477,-0.095437,0.000000,-0.450753,-0.115578,-0.566331,0.000000,-1.470990,-0.377177,-1.848166,0.000000
0.460000,1,-0.085269,-0.021864,-0.107132,0.000000,-0.480111,-0.123105,-0.603216,0.000000,-1.463917,-0.375363,-1.839281,0.000000
0.480000,1,-0.095163,-0.024401,-0.119564,0.000000,-0.509277,-0.130584,-0.639861,0.000000,-1.451886,-0.372278,-1.824164,0.000000
0.500000,1,-0.105638,-0.027087,-0.132724,0.000000,-0.538154,-0.137988,-0.676143,0.000000,-1.435078,-0.367969,-1.803047,0.000000
0.520000,1,-0.116686,-0.029920,-0.146606,0.000000,-0.566649,-0.145295,-0.711944,0.000000,-1.413678,-0.362482,-1.776160,0.000000
0.540000,1,-0.128301,-0.032898,-0.161198,0.000000,-0.594672,-0.152480,-0.747152,0.000000,-1.387870,-0.355864,-1.743734,0.000000
0.560000,1,-0.140470,-0.036018,-0.176487,0.000000,-0.622136,-0.159522,-0.781658,0.000000,-1.357836,-0.348163,-1.706000,0.000000
0.580000,1,-0.153182,-0.039277,-0.192459,0.000000,-0.648959,-0.166400,-0.815358,0.000000,-1.323762,-0.339426,-1.663188,0.000000
0.600000,1,-0.166423,-0.042673,-0.209096,0.000000,-0.675061,-0.173093,-0.848153,0.000000,-1.285830,-0.329700,-1.615530,0.000000
0.620000,1,-0.180179,-0.046200,-0.226379,0.000000,-0.700367,-0.179581,-0.879949,0.000000,-1.244224,-0.319032,-1.563256,0.000000
0.640000,1,-0.194432,-0.049854,-0.244286,0.000000,-0.724806,-0.185848,-0.910654,0.000000,-1.199128,-0.307469,-1.506597,0.000000
0.660000,1,-0.209165,-0.053632,-0.262797,0.000000,-0.748310,-0.191874,-0.940185,0.000000,-1.150726,-0.295058,-1.445784,0.000000
0.680000,1,-0.224358,-0.057528,-0.281885,0.000000,-0.770815,-0.197645,-0.968459,0.000000,-1.099201,-0.281846,-1.381047,0.000000
0.700000,1,-0.239990,-0.061536,-0.301526,0.000000,-0.792259,-0.203143,-0.995402,0.000000,-1.044737,-0.267881,-1.312618,0.000000
0.720000,1,-0.256041,-0.065651,-0.321692,0.000000,-0.812586,-0.208355,-1.020941,0.000000,-0.987517,-0.253210,-1.240727,0.000000
0.740000,1,-0.272486,-0.069868,-0.342354,0.000000,-0.831742,-0.213267,-1.045010,0.000000,-0.927726,-0.237879,-1.165605,0.000000
0.760000,1,-0.289302,-0.074180,-0.363482,0.000000,-0.849679,-0.217866,-1.067545,0.000000,-0.865547,-0.221935,-1.087482,0.000000
0.780000,1,-0.306465,-0.078581,-0.385045,0.000000,-0.866350,-0.222141,-1.088490,0.000000,-0.801164,-0.205427,-1.006591,0.000000
0.800000,1,-0.323948,-0.083063,-0.407011,0.000000,-0.881712,-0.226080,-1.107792,0.000000,-0.734760,-0.188400,-0.923160,0.000000
0.820000,1,-0.341724,-0.087622,-0.429346,0.000000,-0.895728,-0.229674,-1.125401,0.000000,-0.666519,-0.170902,-0.837422,0.000000
0.840000,1,-0.359767,-0.092248,-0.452015,0.000000,-0.908362,-0.232913,-1.141275,0.000000,-0.596625,-0.152981,-0.749606,0.000000
0.860000,1,-0.378049,-0.096936,-0.474985,0.000000,-0.919583,-0.235790,-1.155373,0.000000,-0.525262,-0.134682,-0.659944,0.000000
0.880000,1,-0.396541,-0.101677,-0.498218,0.000000,-0.929364,-0.238298,-1.167662,0.000000,-0.452612,-0.116054,-0.568667,0.000000
0.900000,1,-0.415214,-0.106465,-0.521679,0.000000,-0.937680,-0.240431,-1.178111,0.000000,-0.378861,-0.097144,-0.476004,0.000000
0.920000,1,-0.434038,-0.111292,-0.545330,0.000000,-0.944512,-0.242183,-1.186694,0.000000,-0.304191,-0.077998,-0.382188,0.000000
0.940000,1,-0.452984,-0.116150,-0.569134,0.000000,-0.949843,-0.243549,-1.193392,0.000000,-0.228786,-0.058663,-0.287449,0.000000
0.960000,1,-0.472022,-0.121031,-0.593053,0.000000,-0.953660,-0.244528,-1.198188,0.000000,-0.152830,-0.039187,-0.192017,0.000000
0.980000,1,-0.491121,-0.125928,-0.617049,0.000000,-0.955954,-0.245116,-1.201070,0.000000,-0.076507,-0.019617,-0.096124,0.000000
1.000000,1,-0.510250,-0.130833,-0.641083,0.000000,-0.956719,-0.245313,-1.202031,0.000000,-0.000000,0.000000,0.000000,0.000000
1.020000,1,-0.529379,-0.135738,-0.665118,0.000000,-0.955954,-0.245116,-1.201070,0.000000,0.076507,0.019617,0.096124,0.000000
1.040000,1,-0.548478,-0.140635,-0.689113,0.000000,-0.953660,-0.244528,-1.198188,0.000000,0.152830,0.039187,0.192017,0.000000
1.060000,1,-0.567516,-0.145517,-0.713032,0.000000,-0.949843,-0.243549,-1.193392,0.000000,0.228786,0.058663,0.287449,0.000000
1.080000,1,-0.586462,-0.150375,-0.736836,0.000000,-0.944512,-0.242183,-1.186694,0.000000,0.304191,0.077998,0.382188,0.000000
1.100000,1,-0.605286,-0.155202,-0.760488,0.000000,-0.937680,-0.240431,-1.178111,0.000000,0.378861,0.097144,0.476004,0.000000
