t,stage_id,trunk_joint1,trunk_joint2,trunk_joint3,trunk_joint4,dtrunk_joint1,dtrunk_joint2,dtrunk_joint3,dtrunk_joint4,ddtrunk_joint1,ddtrunk_joint2,ddtrunk_joint3,ddtrunk_joint4
0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,1,-0.000008,-0.000004,-0.000012,0.000000,-0.001257,-0.000590,-0.001847,0.000000,-0.124396,-0.058390,-0.182786,0.000000
0.040000,1,-0.000066,-0.000031,-0.000097,0.000000,-0.004926,-0.002312,-0.007238,0.000000,-0.241252,-0.113241,-0.354493,0.000000
0.060000,1,-0.000221,-0.000104,-0.000324,0.000000,-0.010858,-0.005096,-0.015954,0.000000,-0.350724,-0.164625,-0.515349,0.000000
0.080000,1,-0.000515,-0.000242,-0.000756,0.000000,-0.018906,-0.008874,-0.027781,0.000000,-0.452964,-0.212616,-0.665580,0.000000
0.100000,1,-0.000990,-0.000465,-0.001455,0.000000,-0.028929,-0.013579,-0.042508,0.000000,-0.548126,-0.257284,-0.805410,0.000000
0.120000,1,-0.001684,-0.000791,-0.002475,0.000000,-0.040785,-0.019144,-0.059929,0.000000,-0.636365,-0.298702,-0.935067,0.000000
0.140000,1,-0.002633,-0.001236,-0.003868,0.000000,-0.054338,-0.025506,-0.079844,0.000000,-0.717834,-0.336942,-1.054776,0.000000
0.160000,1,-0.003868,-0.001816,-0.005684,0.000000,-0.069454,-0.032601,-0.102056,0.000000,-0.792687,-0.372077,-1.164764,0.000000
0.180000,1,-0.005420,-0.002544,-0.007965,0.000000,-0.086003,-0.040369,-0.126371,0.000000,-0.861077,-0.404179,-1.265257,0.000000
0.200000,1,-0.007317,-0.003434,-0.010751,0.000000,-0.103856,-0.048749,-0.152604,0.000000,-0.923160,-0.433320,-1.356480,0.000000
0.220000,1,-0.009582,-0.004498,-0.014080,0.000000,-0.122888,-0.057682,-0.180570,0.000000,-0.979088,-0.459572,-1.438660,0.000000
0.240000,1,-0.012239,-0.005745,-0.017985,0.000000,-0.142979,-0.067113,-0.210092,0.000000,-1.029016,-0.483007,-1.512023,0.000000
0.260000,1,-0.015308,-0.007185,-0.022493,0.000000,-0.164010,-0.076984,-0.240994,0.000000,-1.073097,-0.503698,-1.576795,0.000000
0.280000,1,-0.018805,-0.008827,-0.027632,0.000000,-0.185865,-0.087243,-0.273108,0.000000,-1.111485,-0.521717,-1.633202,0.000000
0.300000,1,-0.022747,-0.010677,-0.033425,0.000000,-0.208432,-0.097836,-0.306268,0.000000,-1.144334,-0.537136,-1.681470,0.000000
0.320000,1,-0.027147,-0.012742,-0.039889,0.000000,-0.231602,-0.108711,-0.340314,0.000000,-1.171798,-0.550028,-1.721825,0.000000
0.340000,1,-0.032015,-0.015027,-0.047042,0.000000,-0.255269,-0.119820,-0.375090,0.000000,-1.194031,-0.560463,-1.754494,0.000000
0.360000,1,-0.037360,-0.017536,-0.054896,0.000000,-0.279330,-0.131114,-0.410444,0.000000,-1.211186,-0.568516,-1.779702,0.000000
0.380000,1,-0.043190,-0.020273,-0.063463,0.000000,-0.303684,-0.142545,-0.446229,0.000000,-1.223418,-0.574257,-1.797675,0.000000
0.400000,1,-0.049509,-0.023239,-0.072748,0.000000,-0.328235,-0.154069,-0.482304,0.000000,-1.230880,-0.577760,-1.808640,0.000000
0.420000,1,-0.056320,-0.026436,-0.082756,0.000000,-0.352888,-0.165641,-0.518530,0.000000,-1.233726,-0.579096,-1.812822,0.000000
0.440000,1,-0.063624,-0.029864,-0.093489,0.000000,-0.377554,-0.177219,-0.554773,0.000000,-1.232111,-0.578338,-1.810449,0.000000
0.460000,1,-0.071422,-0.033524,-0.104946,0.000000,-0.402144,-0.188761,-0.590905,0.000000,-1.226187,-0.575557,-1.801745,0.000000
0.480000,1,-0.079709,-0.037414,-0.117123,0.000000,-0.426574,-0.200229,-0.626802,0.000000,-1.216109,-0.570827,-1.786936,0.000000
0.500000,1,-0.088483,-0.041533,-0.130016,0.000000,-0.450762,-0.211582,-0.662344,0.000000,-1.202031,-0.564219,-1.766250,0.000000
0.520000,1,-0.097737,-0.045877,-0.143614,0.000000,-0.474629,-0.222785,-0.697415,0.000000,-1.184107,-0.555805,-1.739912,0.000000
0.540000,1,-0.107465,-0.050443,-0.157908,0.000000,-0.498101,-0.233803,-0.731904,0.000000,-1.162489,-0.545658,-1.708147,0.000000
0.560000,1,-0.117658,-0.055227,-0.172886,0.000000,-0.521105,-0.244600,-0.765706,0.000000,-1.137333,-0.533850,-1.671183,0.000000
0.580000,1,-0.128306,-0.060225,-0.188531,0.000000,-0.543572,-0.255146,-0.798718,0.000000,-1.108792,-0.520453,-1.629246,0.000000
