q1,q2,cost,valid_flag,projection_error,dist_proj_to_goal_proj,stage2_pos_error,stage2_pose_error,o4_proj_x,o4_proj_y,o4_proj_z
-1.390000,-1.740000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.696500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.653000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.609500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.566000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.522500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.479000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.435500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.392000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.348500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.305000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.261500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.218000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.174500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.131000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.087500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.044000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-1.000500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-0.957000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-0.913500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-0.870000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-0.826500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-0.783000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-0.739500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-0.696000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-0.652500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-0.609000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-0.565500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-0.522000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-0.478500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-0.435000,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-0.391500,inf,0,inf,inf,inf,inf,0.000000,0.000000,0.000000
-1.390000,-0.348000,2.826960,1,0.358683,0.358683,0.389340,0.230866,0.384079,0.001150,0.098073
-1.390000,-0.304500,2.644102,1,0.353557,0.353557,0.381612,0.214916,0.385245,0.001150,0.106035
-1.390000,-0.261000,2.477264,1,0.348271,0.348271,0.373760,0.199745,0.386064,0.001150,0.114040
-1.390000,-0.217500,2.326565,1,0.342827,0.342827,0.365790,0.185367,0.386534,0.001150,0.122073
-1.390000,-0.174000,2.192123,1,0.337228,0.337228,0.357712,0.171793,0.386654,0.001150,0.130119
-1.390000,-0.130500,2.074058,1,0.331478,0.331478,0.349533,0.159032,0.386425,0.001150,0.138163
-1.390000,-0.087000,1.972485,1,0.325579,0.325579,0.341261,0.147097,0.385845,0.001150,0.146189
-1.390000,-0.043500,1.887519,1,0.319535,0.319535,0.332906,0.135997,0.384918,0.001150,0.154182
-1.390000,0.000000,1.819259,1,0.313349,0.313349,0.324479,0.125745,0.383643,0.001150,0.162127
-1.390000,0.043500,1.759319,1,0.307024,0.307024,0.315990,0.116349,0.382025,0.001150,0.170009
-1.390000,0.087000,1.700698,1,0.300565,0.300565,0.307450,0.107821,0.380065,0.001150,0.177814
-1.390000,0.130500,1.643504,1,0.293975,0.293975,0.298872,0.100171,0.377767,0.001150,0.185526
-1.390000,0.174000,1.587843,1,0.287257,0.287257,0.290270,0.093408,0.375136,0.001150,0.193131
-1.390000,0.217500,1.533819,1,0.280417,0.280417,0.281659,0.087542,0.372177,0.001150,0.200614
-1.390000,0.261000,1.481532,1,0.273457,0.273457,0.273054,0.082582,0.368896,0.001150,0.207961
-1.390000,0.304500,1.431080,1,0.266383,0.266383,0.264473,0.078538,0.365298,0.001150,0.215159
-1.390000,0.348000,1.382557,1,0.259199,0.259199,0.255936,0.075418,0.361390,0.001150,0.222193
-1.390000,0.391500,1.336054,1,0.251909,0.251909,0.247465,0.073230,0.357181,0.001151,0.229051
-1.390000,0.435000,1.291659,1,0.244519,0.244519,0.239082,0.070073,0.352677,0.001151,0.235719
-1.390000,0.478500,1.249457,1,0.237035,0.237035,0.230816,0.064700,0.347887,0.001151,0.242185
-1.390000,0.522000,1.209526,1,0.229460,0.229460,0.222694,0.060294,0.342821,0.001151,0.248437
-1.390000,0.565500,1.171945,1,0.221803,0.221803,0.214750,0.056864,0.337487,0.001151,0.254463
-1.390000,0.609000,1.136785,1,0.214068,0.214068,0.207020,0.054419,0.331897,0.001151,0.260250
-1.390000,0.652500,1.104114,1,0.206262,0.206262,0.199544,0.052966,0.326060,0.001151,0.265790
-1.390000,0.696000,1.071371,1,0.198394,0.198394,0.191683,0.048957,0.319988,0.001151,0.271070
-1.390000,0.739500,1.037178,1,0.190470,0.190470,0.183011,0.044437,0.313692,0.001151,0.276081
-1.390000,0.783000,1.005857,1,0.182500,0.182500,0.174646,0.040942,0.307184,0.001151,0.280814
-1.390000,0.826500,0.977471,1,0.174493,0.174493,0.166650,0.038478,0.300476,0.001151,0.285259
-1.390000,0.870000,0.952076,1,0.166461,0.166461,0.159096,0.037053,0.293581,0.001151,0.289408
-1.390000,0.913500,0.929724,1,0.158415,0.158415,0.152066,0.035953,0.286513,0.001151,0.293254
-1.390000,0.957000,0.903954,1,0.150371,0.150371,0.143396,0.031543,0.279284,0.001151,0.296788
-1.390000,1.000500,0.881192,1,0.142345,0.142345,0.135165,0.028198,0.271908,0.001151,0.300005
-1.390000,1.044000,0.861804,1,0.134356,0.134356,0.127597,0.025926,0.264399,0.001151,0.302898
-1.390000,1.087500,0.845833,1,0.126428,0.126428,0.120835,0.024731,0.256772,0.001151,0.305462
-1.390000,1.131000,0.830691,1,0.118591,0.118591,0.113888,0.024619,0.249040,0.001151,0.307691
-1.390000,1.174500,0.814695,1,0.110879,0.110879,0.105926,0.022078,0.241218,0.001151,0.309583
-1.390000,1.218000,0.802391,1,0.103337,0.103337,0.099021,0.019064,0.233322,0.001151,0.311132
-1.390000,1.261500,0.793808,1,0.096020,0.096020,0.093421,0.017155,0.225366,0.001151,0.312336
-1.390000,1.305000,0.785252,1,0.089001,0.089001,0.087278,0.016352,0.217365,0.001151,0.313194
-1.390000,1.348500,0.776928,1,0.082370,0.082370,0.080595,0.016660,0.209334,0.001151,0.313702
-1.390000,1.392000,0.772538,1,0.076242,0.076242,0.075708,0.016392,0.201289,0.001151,0.313861
-1.390000,1.435500,0.778501,1,0.070761,0.070761,0.072017,0.013842,0.193244,0.001151,0.313670
