t,stage_id,trunk_joint1,trunk_joint2,trunk_joint3,trunk_joint4,dtrunk_joint1,dtrunk_joint2,dtrunk_joint3,dtrunk_joint4,ddtrunk_joint1,ddtrunk_joint2,ddtrunk_joint3,ddtrunk_joint4
0.000000,1,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,1,-0.003125,-0.001875,-0.005000,-0.000001,-0.062498,-0.037490,-0.100000,-0.000013,-0.624980,-0.374903,-1.000000,-0.000131
0.200000,1,-0.012500,-0.007498,-0.020000,-0.000003,-0.124996,-0.074981,-0.200000,-0.000026,-0.624980,-0.374903,-1.000000,-0.000131
0.300000,1,-0.028124,-0.016871,-0.045000,-0.000006,-0.187494,-0.112471,-0.300000,-0.000039,-0.624980,-0.374903,-1.000000,-0.000131
0.400000,1,-0.049998,-0.029992,-0.080000,-0.000011,-0.249992,-0.149961,-0.400000,-0.000053,-0.624980,-0.374903,-1.000000,-0.000131
0.500000,1,-0.078122,-0.046863,-0.125000,-0.000016,-0.312490,-0.187451,-0.500000,-0.000066,-0.624980,-0.374903,-1.000000,-0.000131
0.600000,1,-0.112496,-0.067482,-0.180000,-0.000024,-0.374988,-0.224942,-0.600000,-0.000079,-0.624980,-0.374903,-1.000000,-0.000131
0.700000,1,-0.153120,-0.091851,-0.245000,-0.000032,-0.437486,-0.262432,-0.699999,-0.000092,-0.624980,-0.374903,-1.000000,-0.000131
0.800000,1,-0.199957,-0.119947,-0.319942,-0.000042,-0.490499,-0.294233,-0.784824,-0.000103,0.624980,0.374903,1.000000,0.000131
0.900000,1,-0.245883,-0.147496,-0.393425,-0.000052,-0.428001,-0.256742,-0.684824,-0.000090,0.624980,0.374903,1.000000,0.000131
1.000000,1,-0.285558,-0.171296,-0.456907,-0.000060,-0.365503,-0.219252,-0.584824,-0.000077,0.624980,0.374903,1.000000,0.000131
1.100000,1,-0.318983,-0.191346,-0.510389,-0.000067,-0.303005,-0.181762,-0.484824,-0.000064,0.624980,0.374903,1.000000,0.000131
1.200000,1,-0.346159,-0.207648,-0.553872,-0.000073,-0.240507,-0.144271,-0.384824,-0.000051,0.624980,0.374903,1.000000,0.000131
1.300000,1,-0.367085,-0.220201,-0.587354,-0.000077,-0.178009,-0.106781,-0.284824,-0.000037,0.624980,0.374903,1.000000,0.000131
1.400000,1,-0.381761,-0.229004,-0.610836,-0.000080,-0.115511,-0.069291,-0.184824,-0.000024,0.624980,0.374903,1.000000,0.000131
1.500000,1,-0.390187,-0.234059,-0.624319,-0.000082,-0.053013,-0.031801,-0.084824,-0.000011,0.624980,0.374903,1.000000,0.000131
1.584824,1,-0.392435,-0.235408,-0.627916,-0.000083,0.000000,0.000000,0.000000,0.000000,0.624980,0.374903,1.000000,0.000131
3.269647,2,-0.392435,-0.235408,-0.622916,0.004085,-0.000002,-0.000005,0.100000,0.083355,-0.000025,-0.000052,1.000000,0.833547
3.369647,2,-0.392436,-0.235409,-0.607916,0.016588,-0.000005,-0.000010,0.200000,0.166709,-0.000025,-0.000052,1.000000,0.833547
3.469647,2,-0.392436,-0.235410,-0.582916,0.037427,-0.000007,-0.000016,0.300000,0.250064,-0.000025,-0.000052,1.000000,0.833547
3.569647,2,-0.392437,-0.235412,-0.547916,0.066601,-0.000010,-0.000021,0.400000,0.333419,-0.000025,-0.000052,1.000000,0.833547
3.669647,2,-0.392438,-0.235414,-0.502916,0.104111,-0.000012,-0.000026,0.500000,0.416773,-0.000025,-0.000052,1.000000,0.833547
3.769647,2,-0.392440,-0.235417,-0.447916,0.149956,-0.000015,-0.000031,0.599999,0.500128,-0.000025,-0.000052,1.000000,0.833547
3.869647,2,-0.392441,-0.235420,-0.382916,0.204136,-0.000017,-0.000037,0.699999,0.583482,-0.000025,-0.000052,1.000000,0.833547
3.969647,2,-0.392443,-0.235424,-0.307916,0.266652,-0.000020,-0.000042,0.799999,0.666837,-0.000025,-0.000052,1.000000,0.833547
4.069647,2,-0.392445,-0.235429,-0.226463,0.334548,-0.000019,-0.000041,0.780900,0.650917,0.000025,0.000052,-1.000000,-0.833547
4.169647,2,-0.392447,-0.235432,-0.153373,0.395472,-0.000017,-0.000036,0.680900,0.567562,0.000025,0.000052,-1.000000,-0.833547
4.269647,2,-0.392448,-0.235436,-0.090283,0.448060,-0.000014,-0.000030,0.580900,0.484207,0.000025,0.000052,-1.000000,-0.833547
4.369647,2,-0.392450,-0.235439,-0.037193,0.492313,-0.000012,-0.000025,0.480900,0.400852,0.000025,0.000052,-1.000000,-0.833547
4.469647,2,-0.392451,-0.235441,0.005897,0.528231,-0.000009,-0.000020,0.380900,0.317498,0.000025,0.000052,-1.000000,-0.833547
4.569647,2,-0.392452,-0.235443,0.038987,0.555813,-0.000007,-0.000015,0.280900,0.234143,0.000025,0.000052,-1.000000,-0.833547
4.669647,2,-0.392452,-0.235444,0.062077,0.575059,-0.000005,-0.000009,0.180900,0.150788,0.000025,0.000052,-1.000000,-0.833547
4.769647,2,-0.392453,-0.235444,0.075167,0.585970,-0.000002,-0.000004,0.080900,0.067434,0.000025,0.000052,-1.000000,-0.833547
4.850547,2,-0.392453,-0.235445,0.078440,0.588698,-0.000000,-0.000000,0.000000,0.000000,0.000025,0.000052,-1.000000,-0.833547
